,long,lat,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Date
377,-46.93600058719815,-30.703972229668096,laguna,br,62.01,82.0,90.0,5.82,1600099268.0
379,151.3594911807524,53.79390305327746,sobolevo,ru,58.32,91.0,83.0,9.89,1600099268.0
383,75.97803364618059,47.52372226099854,balkhash,kz,66.87,46.0,100.0,3.65,1600099269.0
384,138.11523492050952,71.91156296348078,nizhneyansk,ru,51.8,76.0,87.0,4.47,1600051984.0
385,132.76909630553945,-36.374832314598706,port lincoln,au,52.48,85.0,21.0,9.13,1600099222.0
386,175.72663865289275,-17.420102253248558,isangel,vu,71.6,88.0,40.0,4.7,1600099269.0
387,68.6894895689712,4.5931520705835425,mahibadhoo,mv,82.85,76.0,100.0,9.17,1600099269.0
389,-124.4203475448752,61.8093531647157,fort nelson,ca,33.8,100.0,75.0,2.24,1600099211.0
390,154.91101649593753,-2.406522128825273,namatanai,pg,79.75,82.0,94.0,8.39,1600099270.0
397,80.07956378616274,14.36846540204327,kovur,in,75.88,83.0,93.0,6.08,1600099270.0
398,66.80837221318669,-41.18549906375813,souillac,mu,68.0,56.0,75.0,18.34,1600099157.0
401,-46.64712096319329,-55.68411916274414,mar del plata,ar,55.4,50.0,20.0,9.17,1600099153.0
405,67.2629671259889,28.983015651426115,bhag,pk,101.34,25.0,28.0,14.54,1600099271.0
406,85.76756988829914,17.773343351878353,sompeta,in,82.89,83.0,17.0,4.27,1600099271.0
408,-88.01458587382427,-12.2706222862939,chicama,pe,71.26,59.0,30.0,10.02,1600099271.0
410,-72.24228303144233,25.619286717925732,cockburn town,bs,84.2,70.0,20.0,9.17,1600099271.0
411,-53.4190360180702,-33.2212664617489,santa vitoria do palmar,br,57.15,53.0,0.0,11.86,1600099272.0
412,59.01051814003273,58.3744658122441,staryy biser,ru,51.8,76.0,87.0,4.47,1600051984.0
419,-9.340778005683035,-34.191795096745835,jamestown,sh,62.01,67.0,75.0,10.29,1600098996.0
420,139.13280125029706,0.9204822426190873,biak,id,76.17,80.0,70.0,7.36,1600099272.0
423,-24.81452828187838,-33.74082386465231,sao joao da barra,br,86.0,51.0,0.0,17.22,1600099239.0
425,-4.4333170897755,62.25496953624011,klaksvik,fo,50.0,76.0,52.0,4.7,1600099272.0
426,142.6408704657818,69.5438858333531,deputatskiy,ru,37.89,89.0,100.0,6.02,1600099273.0
431,-4.928087397533972,19.37795386767351,araouane,ml,108.97,10.0,8.0,11.03,1600099273.0
432,45.979032224514754,31.35391906743105,mehran,ir,89.6,9.0,0.0,6.93,1600099273.0
438,156.85628577577376,27.775763830682635,hasaki,jp,71.6,88.0,75.0,6.93,1600099273.0
442,54.87783995926799,21.247596452496694,nizwa,om,92.03,15.0,0.0,6.76,1600099273.0
446,-58.097138264885245,48.425894970073756,stephenville crossing,ca,62.6,93.0,90.0,20.8,1600099274.0
448,-86.85862502717353,-9.228996097823284,sechura,pe,73.49,58.0,3.0,7.31,1600099274.0
449,24.313323231376472,53.86713474593523,druskininkai,lt,66.2,77.0,20.0,6.71,1600099274.0
452,29.25647659395159,80.2432403900504,mehamn,no,48.2,81.0,75.0,12.75,1600099274.0
453,72.53780803583098,8.362741344177607,dhidhdhoo,mv,82.38,78.0,28.0,11.21,1600099275.0
455,32.9177451792373,-20.004688035816613,chipinge,zw,71.08,45.0,64.0,7.09,1600099275.0
457,8.000475003718861,-11.29315826491225,benguela,ao,72.57,73.0,41.0,8.57,1600099275.0
462,-77.50267563414792,23.64636931490095,andros town,bs,86.0,70.0,75.0,9.17,1600099275.0
463,-56.2221333776493,73.15474462033742,upernavik,gl,30.04,84.0,0.0,3.96,1600099158.0
464,6.594114885117563,21.24268782986779,arlit,ne,107.4,7.0,0.0,17.78,1600099275.0
466,31.093842028006776,28.17860983148664,matay,eg,92.05,23.0,0.0,12.17,1600099215.0
467,-50.93404798376719,72.97026986851085,ilulissat,gl,28.4,50.0,5.0,4.7,1600099266.0
468,-111.68370698518672,36.957463414201186,cedar city,us,71.6,17.0,1.0,5.48,1600099276.0
469,-94.9367273580382,-27.023906215359666,pisco,pe,64.99,82.0,20.0,6.93,1600099276.0
472,157.18071743780484,-60.1047412082074,tuatapere,nz,42.01,91.0,92.0,3.0,1600099276.0
473,132.44027498423173,-5.4426853924955765,tual,id,78.4,77.0,0.0,20.09,1600099276.0
477,128.29433609729296,43.650383662714574,dunhua,cn,46.74,94.0,2.0,1.61,1600099277.0
479,105.00852034371212,-6.287096267743536,labuhan,id,78.84,73.0,0.0,6.17,1600099277.0
483,-43.02456316354133,68.08020828579865,tasiilaq,gl,32.31,97.0,78.0,2.53,1600099277.0
485,109.30257536485493,41.46955164907638,dongsheng,cn,58.41,50.0,81.0,6.96,1600099277.0
491,-98.63911610544214,23.560387024371238,soto la marina,mx,77.0,97.0,97.0,4.0,1600099277.0
492,66.09436183393791,22.873677362448134,keti bandar,pk,85.87,77.0,96.0,7.34,1600099195.0
493,164.39933264508176,67.53922525129144,bilibino,ru,37.17,87.0,95.0,4.97,1600099278.0
